AnimalID,Date,Timepoint,Condition,ClusterDirectory,condition_timepoints,timepoints_AnimalID,videoID
c2m4,20241015,d7,healthy,data/nhi_exp2_dappy_formatted/20241015_d7_c2_m4_cylinder_5min_dappy_format.mat,d7_healthy,d7_c2m4_healthy,33
c2m5,20241015,d7,healthy,data/nhi_exp2_dappy_formatted/20241015_d7_c2_m5_cylinder_5min_dappy_format.mat,d7_healthy,d7_c2m5_healthy,34
c3m1,20241015,d7,stroke,data/nhi_exp2_dappy_formatted/20241015_d7_c3_m1_cylinder_5min_dappy_format.mat,d7_stroke,d7_c3m1_stroke,35
c3m2,20241015,d7,stroke,data/nhi_exp2_dappy_formatted/20241015_d7_c3_m2_cylinder_5min_dappy_format.mat,d7_stroke,d7_c3m2_stroke,36
c3m3,20241015,d7,stroke,data/nhi_exp2_dappy_formatted/20241015_d7_c3_m3_cylinder_5min_dappy_format.mat,d7_stroke,d7_c3m3_stroke,37
c3m4,20241015,d7,stroke,data/nhi_exp2_dappy_formatted/20241015_d7_c3_m4_cylinder_5min_dappy_format.mat,d7_stroke,d7_c3m4_stroke,38
c3m5,20241015,d7,stroke,data/nhi_exp2_dappy_formatted/20241015_d7_c3_m5_cylinder_5min_dappy_format.mat,d7_stroke,d7_c3m5_stroke,39
c4m1,20241015,d7,stroke,data/nhi_exp2_dappy_formatted/20241015_d7_c4_m1_cylinder_5min_dappy_format.mat,d7_stroke,d7_c4m1_stroke,40
c4m2,20241015,d7,stroke,data/nhi_exp2_dappy_formatted/20241015_d7_c4_m2_cylinder_5min_dappy_format.mat,d7_stroke,d7_c4m2_stroke,41
c4m3,20241015,d7,stroke,data/nhi_exp2_dappy_formatted/20241015_d7_c4_m3_cylinder_5min_dappy_format.mat,d7_stroke,d7_c4m3_stroke,42
c4m4,20241015,d7,stroke,data/nhi_exp2_dappy_formatted/20241015_d7_c4_m4_cylinder_5min_dappy_format.mat,d7_stroke,d7_c4m4_stroke,43
c4m5,20241015,d7,stroke,data/nhi_exp2_dappy_formatted/20241015_d7_c4_m5_cylinder_5min_dappy_format.mat,d7_stroke,d7_c4m5_stroke,44
c5m1,20241015,d7,sham,data/nhi_exp2_dappy_formatted/20241015_d7_c5_m1_cylinder_5min_dappy_format.mat,d7_sham,d7_c5m1_sham,45
c5m2,20241015,d7,sham,data/nhi_exp2_dappy_formatted/20241015_d7_c5_m2_cylinder_5min_dappy_format.mat,d7_sham,d7_c5m2_sham,46
c5m3,20241015,d7,sham,data/nhi_exp2_dappy_formatted/20241015_d7_c5_m3_cylinder_5min_dappy_format.mat,d7_sham,d7_c5m3_sham,47
c5m4,20241015,d7,sham,data/nhi_exp2_dappy_formatted/20241015_d7_c5_m4_cylinder_5min_dappy_format.mat,d7_sham,d7_c5m4_sham,48
c5m5,20241015,d7,sham,data/nhi_exp2_dappy_formatted/20241015_d7_c5_m5_cylinder_5min_dappy_format.mat,d7_sham,d7_c5m5_sham,49
c6m1,20241015,d7,sham,data/nhi_exp2_dappy_formatted/20241015_d7_c6_m1_cylinder_5min_dappy_format.mat,d7_sham,d7_c6m1_sham,50
c6m2,20241015,d7,sham,data/nhi_exp2_dappy_formatted/20241015_d7_c6_m2_cylinder_5min_dappy_format.mat,d7_sham,d7_c6m2_sham,51
c6m3,20241015,d7,sham,data/nhi_exp2_dappy_formatted/20241015_d7_c6_m3_cylinder_5min_dappy_format.mat,d7_sham,d7_c6m3_sham,52
c1m1,20241105,d28,healthy,data/nhi_exp2_dappy_formatted/20241105_d28_c1_m1_cylinder_5min_dappy_format.mat,d28_healthy,d28_c1m1_healthy,53
c1m2,20241105,d28,healthy,data/nhi_exp2_dappy_formatted/20241105_d28_c1_m2_cylinder_5min_dappy_format.mat,d28_healthy,d28_c1m2_healthy,54
c1m3,20241105,d28,healthy,data/nhi_exp2_dappy_formatted/20241105_d28_c1_m3_cylinder_5min_dappy_format.mat,d28_healthy,d28_c1m3_healthy,55
c2m1,20241105,d28,healthy,data/nhi_exp2_dappy_formatted/20241105_d28_c2_m1_cylinder_5min_dappy_format.mat,d28_healthy,d28_c2m1_healthy,56
c2m2,20241105,d28,healthy,data/nhi_exp2_dappy_formatted/20241105_d28_c2_m2_cylinder_5min_dappy_format.mat,d28_healthy,d28_c2m2_healthy,57
c2m3,20241105,d28,healthy,data/nhi_exp2_dappy_formatted/20241105_d28_c2_m3_cylinder_5min_dappy_format.mat,d28_healthy,d28_c2m3_healthy,58
c2m4,20241105,d28,healthy,data/nhi_exp2_dappy_formatted/20241105_d28_c2_m4_cylinder_5min_dappy_format.mat,d28_healthy,d28_c2m4_healthy,59
c2m5,20241105,d28,healthy,data/nhi_exp2_dappy_formatted/20241105_d28_c2_m5_cylinder_5min_dappy_format.mat,d28_healthy,d28_c2m5_healthy,60
c3m1,20241105,d28,stroke,data/nhi_exp2_dappy_formatted/20241105_d28_c3_m1_cylinder_5min_dappy_format.mat,d28_stroke,d28_c3m1_stroke,61
c3m2,20241105,d28,stroke,data/nhi_exp2_dappy_formatted/20241105_d28_c3_m2_cylinder_5min_dappy_format.mat,d28_stroke,d28_c3m2_stroke,62
c3m3,20241105,d28,stroke,data/nhi_exp2_dappy_formatted/20241105_d28_c3_m3_cylinder_5min_dappy_format.mat,d28_stroke,d28_c3m3_stroke,63
c3m4,20241105,d28,stroke,data/nhi_exp2_dappy_formatted/20241105_d28_c3_m4_cylinder_5min_dappy_format.mat,d28_stroke,d28_c3m4_stroke,64
c3m5,20241105,d28,stroke,data/nhi_exp2_dappy_formatted/20241105_d28_c3_m5_cylinder_5min_dappy_format.mat,d28_stroke,d28_c3m5_stroke,65
c4m1,20241105,d28,stroke,data/nhi_exp2_dappy_formatted/20241105_d28_c4_m1_cylinder_5min_dappy_format.mat,d28_stroke,d28_c4m1_stroke,66
c4m2,20241105,d28,stroke,data/nhi_exp2_dappy_formatted/20241105_d28_c4_m2_cylinder_5min_dappy_format.mat,d28_stroke,d28_c4m2_stroke,67
c4m3,20241105,d28,stroke,data/nhi_exp2_dappy_formatted/20241105_d28_c4_m3_cylinder_5min_dappy_format.mat,d28_stroke,d28_c4m3_stroke,68
c4m4,20241105,d28,stroke,data/nhi_exp2_dappy_formatted/20241105_d28_c4_m4_cylinder_5min_dappy_format.mat,d28_stroke,d28_c4m4_stroke,69
c4m5,20241105,d28,stroke,data/nhi_exp2_dappy_formatted/20241105_d28_c4_m5_cylinder_5min_dappy_format.mat,d28_stroke,d28_c4m5_stroke,70
c5m1,20241105,d28,sham,data/nhi_exp2_dappy_formatted/20241105_d28_c5_m1_cylinder_5min_dappy_format.mat,d28_sham,d28_c5m1_sham,71
c5m2,20241105,d28,sham,data/nhi_exp2_dappy_formatted/20241105_d28_c5_m2_cylinder_5min_dappy_format.mat,d28_sham,d28_c5m2_sham,72
c5m3,20241105,d28,sham,data/nhi_exp2_dappy_formatted/20241105_d28_c5_m3_cylinder_5min_dappy_format.mat,d28_sham,d28_c5m3_sham,73
c5m4,20241105,d28,sham,data/nhi_exp2_dappy_formatted/20241105_d28_c5_m4_cylinder_5min_dappy_format.mat,d28_sham,d28_c5m4_sham,74
c5m5,20241105,d28,sham,data/nhi_exp2_dappy_formatted/20241105_d28_c5_m5_cylinder_5min_dappy_format.mat,d28_sham,d28_c5m5_sham,75
c6m1,20241105,d28,sham,data/nhi_exp2_dappy_formatted/20241105_d28_c6_m1_cylinder_5min_dappy_format.mat,d28_sham,d28_c6m1_sham,76
c6m2,20241105,d28,sham,data/nhi_exp2_dappy_formatted/20241105_d28_c6_m2_cylinder_5min_dappy_format.mat,d28_sham,d28_c6m2_sham,77
c6m3,20241105,d28,sham,data/nhi_exp2_dappy_formatted/20241105_d28_c6_m3_cylinder_5min_dappy_format.mat,d28_sham,d28_c6m3_sham,78
c1m1,20241126,d49,healthy,data/nhi_exp2_dappy_formatted/20241126_d49_c1_m1_cylinder_5min_dappy_format.mat,d49_healthy,d49_c1m1_healthy,79
c1m2,20241126,d49,healthy,data/nhi_exp2_dappy_formatted/20241126_d49_c1_m2_cylinder_5min_dappy_format.mat,d49_healthy,d49_c1m2_healthy,80
c1m3,20241126,d49,healthy,data/nhi_exp2_dappy_formatted/20241126_d49_c1_m3_cylinder_5min_dappy_format.mat,d49_healthy,d49_c1m3_healthy,81
c2m1,20241126,d49,healthy,data/nhi_exp2_dappy_formatted/20241126_d49_c2_m1_cylinder_5min_dappy_format.mat,d49_healthy,d49_c2m1_healthy,82
c2m2,20241126,d49,healthy,data/nhi_exp2_dappy_formatted/20241126_d49_c2_m2_cylinder_5min_dappy_format.mat,d49_healthy,d49_c2m2_healthy,83
c2m3,20241126,d49,healthy,data/nhi_exp2_dappy_formatted/20241126_d49_c2_m3_cylinder_5min_dappy_format.mat,d49_healthy,d49_c2m3_healthy,84
c2m4,20241126,d49,healthy,data/nhi_exp2_dappy_formatted/20241126_d49_c2_m4_cylinder_5min_dappy_format.mat,d49_healthy,d49_c2m4_healthy,85
